"L","M","U","x","G","EIR","Resistance_level","Access","Dosage","Seasonality","drug"
-0.0279631994906463,-0.00885347496039489,0.0102077579152046,2,"half_life_short",5,7,0.04,0,"sesonality1","A+B"
-0.0268115008077297,-0.00795907547033867,0.0108071360817182,3,"half_life_short",5,7,0.04,0,"sesonality1","A+B"
-0.0277767722225609,-0.00883360283596129,0.0107813681400386,4,"half_life_short",5,7,0.04,0,"sesonality1","A+B"
-0.027064739289862,-0.00873179343028769,0.00994094187722191,5,"half_life_short",5,7,0.04,0,"sesonality1","A+B"
-0.0277078618623605,-0.0092576061919176,0.0096737837178866,6,"half_life_short",5,7,0.04,0,"sesonality1","A+B"
-0.0277297123631686,-0.0087536091935015,0.00956317460755015,7,"half_life_short",5,7,0.04,0,"sesonality1","A+B"
-0.0283142995174085,-0.00959292592559247,0.00925875645848739,8,"half_life_short",5,7,0.04,0,"sesonality1","A+B"
-0.0278638364784222,-0.0101223367927435,0.0087177547745952,9,"half_life_short",5,7,0.04,0,"sesonality1","A+B"
-0.0285972881189082,-0.0100687146223576,0.00943288455243259,10,"half_life_short",5,7,0.04,0,"sesonality1","A+B"
-0.0282346779413781,-0.010197966652163,0.00908655127906462,11,"half_life_short",5,7,0.04,0,"sesonality1","A+B"
-0.0289115292584481,-0.0100189613579566,0.00964719070447247,12,"half_life_short",5,7,0.04,0,"sesonality1","A+B"
-0.0282593527933864,-0.0100111084409316,0.00885409230936572,13,"half_life_short",5,7,0.04,0,"sesonality1","A+B"
-0.0279173800904445,-0.0105555787355917,0.00919294162116597,14,"half_life_short",5,7,0.04,0,"sesonality1","A+B"
-0.0290927299197683,-0.0106380886924356,0.00814872250456377,15,"half_life_short",5,7,0.04,0,"sesonality1","A+B"
-0.028245096971104,-0.00987910559778983,0.0088793480699398,16,"half_life_short",5,7,0.04,0,"sesonality1","A+B"
-0.0288087107087378,-0.0107180943211299,0.00876762713902483,17,"half_life_short",5,7,0.04,0,"sesonality1","A+B"
-0.0281308963891528,-0.0101183135326834,0.0091369347610282,18,"half_life_short",5,7,0.04,0,"sesonality1","A+B"
-0.0292739517588471,-0.0113321765659557,0.00779786019674127,19,"half_life_short",5,7,0.04,0,"sesonality1","A+B"
-0.0292914306051395,-0.011545542811827,0.00775195595638304,20,"half_life_short",5,7,0.04,0,"sesonality1","A+B"
-0.02897622158408,-0.0106066667922311,0.0084760091353271,21,"half_life_short",5,7,0.04,0,"sesonality1","A+B"
-0.029270549541212,-0.0111233352589013,0.00811169240182056,22,"half_life_short",5,7,0.04,0,"sesonality1","A+B"
-0.0290424543475514,-0.0106007529070728,0.00844109625104732,23,"half_life_short",5,7,0.04,0,"sesonality1","A+B"
-0.0288173472127142,-0.0102565614513745,0.00832220265072226,24,"half_life_short",5,7,0.04,0,"sesonality1","A+B"
-0.0294475412582476,-0.0109337737281681,0.00829770382012026,25,"half_life_short",5,7,0.04,0,"sesonality1","A+B"
-0.0297585442078248,-0.0109854384003688,0.00810497058738389,26,"half_life_short",5,7,0.04,0,"sesonality1","A+B"
-0.029658229650071,-0.0103311473833768,0.00892982655668631,27,"half_life_short",5,7,0.04,0,"sesonality1","A+B"
